N1,Z1,N2,Z2,E_ini(MeV),v_ini(c),status,num,E_diss(MeV),integral_Rdot^2(fm*c),fric_ave(MeV/(fm*c))
76,47,76,47,10.0,0.29204083016228455,fission,2,1467.4743004489442,7.235691454257212,202.81051364974064
73,48,73,48,1.0,0.09235141930792203,fission,2,33.341230645497774,0.7676952384001022,43.430294963118186
73,48,73,48,2.0,0.13060462968966785,fission,2,295.06922422403426,1.3369481951017979,220.7035585261156
73,48,73,48,3.0,0.15995735039241835,fission,2,526.838680786525,2.3112672019124934,227.9436494190651
73,48,73,48,4.0,0.18470283861584405,fission,2,734.0019232146165,3.079187936615713,238.37516199850614
73,48,73,48,5.0,0.20650405139110023,fission,2,925.1114556448817,3.842643990494542,240.74867667504668
73,48,73,48,6.0,0.22621385432622335,fission,2,1037.66408480381,4.6145389163420685,224.86842209283247
73,48,73,48,7.0,0.24433888871261045,fission,2,1146.995110333142,5.337691843199988,214.88597394290744
73,48,73,48,8.0,0.2612092593793357,fission,2,1242.577437815149,5.994686117233012,207.27981640991902
73,48,73,48,9.0,0.2770542579237661,fission,2,1331.0460204519345,6.655175338920708,200.00164573692427
73,48,73,48,10.0,0.29204083016228455,fission,2,1422.6391541219032,7.24948813709955,196.2399451130197
74,48,74,48,1.0,0.09235141930792203,fission,2,34.17094434253744,0.7135714438364464,47.887208264418106
74,48,74,48,2.0,0.13060462968966785,fission,2,294.5027047362322,1.4199317296393905,207.40624256000314
74,48,74,48,3.0,0.15995735039241835,fission,2,530.5708375452052,2.326775422529015,228.02838314688663
74,48,74,48,4.0,0.18470283861584405,fission,2,735.102860920438,3.096831347336112,237.3725845783536
74,48,74,48,5.0,0.20650405139110023,fission,2,925.1875559989069,3.8423657568028204,240.7859153858228
74,48,74,48,6.0,0.22621385432622335,fission,2,1046.0582709731775,4.580603782725224,228.36689672181743
74,48,74,48,7.0,0.24433888871261045,fission,2,1163.3593943894775,5.320638760198867,218.65032504969292
74,48,74,48,8.0,0.2612092593793357,fission,2,1258.594797256919,5.968258168931544,210.88142664616612
74,48,74,48,9.0,0.2770542579237661,fission,2,1349.2370391646352,6.624234124774025,203.68196741697474
74,48,74,48,10.0,0.29204083016228455,fission,2,1442.7497766373804,7.215643121554148,199.9474963399565
75,48,75,48,1.0,0.09235141930792203,fission,2,34.11426274584804,0.5124599263769326,66.56962035457926
75,48,75,48,2.0,0.13060462968966785,fission,2,305.74847486343197,1.2366585660003158,247.23758300749432
75,48,75,48,3.0,0.15995735039241835,fission,2,538.4617830202776,2.3142271517971555,232.6745594537361
75,48,75,48,4.0,0.18470283861584405,fission,2,745.7222229843196,3.088983461538621,241.41347218896271
75,48,75,48,5.0,0.20650405139110023,fission,2,929.5129062567808,3.8486746361775186,241.51506534726656
75,48,75,48,6.0,0.22621385432622335,fission,2,1057.7859304487063,4.58994250350139,230.45733789514472
75,48,75,48,7.0,0.24433888871261045,fission,2,1175.9279583167868,5.3152195529587845,221.23788991222227
75,48,75,48,8.0,0.2612092593793357,fission,2,1281.0162496666871,5.953587755562207,215.1671063334681
75,48,75,48,9.0,0.2770542579237661,fission,2,1376.9838226381075,6.60508723393653,208.473222815779
75,48,75,48,10.0,0.29204083016228455,fission,2,1464.8261663273736,7.195388021731365,203.57848136936263
76,48,76,48,1.0,0.09235141930792203,fission,2,33.19691842288108,0.4155229164637168,79.8919075400257
76,48,76,48,2.0,0.13060462968966785,fusion,1,not calculated
76,48,76,48,3.0,0.15995735039241835,fission,2,547.045567448795,2.2855270664150042,239.3520407119357
76,48,76,48,4.0,0.18470283861584405,fission,2,755.9061163323001,3.0837705128981643,245.12398480063635
76,48,76,48,5.0,0.20650405139110023,fission,2,932.7191797426891,3.8591530087843573,241.69012672459388
76,48,76,48,6.0,0.22621385432622335,fission,2,1067.0360267415708,4.598968968222045,232.0163571693082
76,48,76,48,7.0,0.24433888871261045,fission,2,1189.3206426661284,5.307099191192072,224.09994609484303
76,48,76,48,8.0,0.2612092593793357,fission,2,1299.0334763281776,5.9352935958970905,218.86591713443875
76,48,76,48,9.0,0.2770542579237661,fission,2,1398.6321506623044,6.58208751237063,212.4906647068519
76,48,76,48,10.0,0.29204083016228455,fission,2,1488.5517197213887,7.17141701479185,207.56730736074672
77,48,77,48,1.0,0.09235141930792203,fusion,1,not calculated
77,48,77,48,2.0,0.13060462968966785,fusion,1,not calculated
77,48,77,48,3.0,0.15995735039241835,fission,2,554.420513929651,2.288187662838029,242.29678488957748
77,48,77,48,4.0,0.18470283861584405,fission,2,764.0004196793188,3.0933998962992577,246.97757977987882
77,48,77,48,5.0,0.20650405139110023,fission,2,939.349890618212,3.878764877677896,242.17757978167873
